emotion_id,face_id,motion_id,voice_id,text_id
1,7,7,1110_000_001,ET_挨拶_1110
2,3,2,1110_000_002,ET_感謝_1110
3,5,3,1110_000_003,ET_謝罪_1110
4,8,9,1110_000_004,ET_賞賛_1110
5,6,8,1110_000_005,ET_驚愕_1110
6,9,6,1110_000_006,ET_困惑_1110
7,1,1,,
8,4,11,1110_000_007,ET_挑発_1110
9,1,1,,
10,1,1,,
11,1,1,,
12,1,1,1110_000_008,
13,1,1,1110_000_009,
14,1,1,1110_000_010,
15,2,10,1110_000_011,ET_敗北_1110
16,2,3,1110_000_012,ET_サレンダー敗北_1110
17,4,4,1110_000_013,ET_進化1_1110
18,4,4,1110_000_014,ET_進化2_1110
19,4,4,1110_000_015,ET_進化3_1110
20,2,5,1110_000_016,
21,2,5,1110_000_017,
22,2,5,1110_000_018,
23,2,5,1110_000_019,
24,2,5,1110_000_020,
25,5,6,1110_000_021,
26,5,6,1110_000_022,
27,5,6,1110_000_023,
28,,,,
29,,,,
30,1,1,char_select_1110,
